Date	View_count	View_unique	Clone_count	Clone_unique
2017-03-02	18	2	8	5
2017-03-03	10	5	3	1
2017-03-04	53	16	2	1
2017-03-05	12	1	0	0
2017-03-06	92	7	6	5
2017-03-07	1	1	0	0
2017-03-08	21	6	3	2
2017-03-09	2	1	0	0
2017-03-10	5	2	1	1
2017-03-11	17	2	0	0
2017-03-12	7	2	2	1
2017-03-13	3	2	0	0
2017-03-14	11	5	0	0
2017-03-15	1	1	0	0
2017-03-16	1	1	0	0
2017-03-17	52	9	4	2
2017-03-18	2	2	0	0
2017-03-19	4	2	0	0
2017-03-20	3	1	0	0
2017-03-21	8	2	0	0
2017-03-22	2	2	0	0
2017-03-23	58	4	1	1
2017-03-24	9	3	2	2
2017-03-25	1	1	0	0
2017-03-26	9	1	0	0
2017-03-27	12	1	0	0
2017-03-28	1	1	0	0
2017-03-29	13	2	0	0
2017-03-30	24	8	2	1
2017-03-31	5	2	0	0
2017-04-01	1	1	0	0
2017-04-02	6	1	0	0
2017-04-03	6	4	0	0
2017-04-04	2	1	0	0
2017-04-05	9	7	0	0
2017-04-06	5	2	0	0
2017-04-08	4	2	0	0
2017-04-09	3	2	0	0
2017-04-10	11	4	0	0
2017-04-11	4	4	0	0
2017-04-12	2	1	0	0
2017-04-13	4	2	0	0
2017-04-14	4	3	0	0
2017-04-16	1	1	0	0
2017-04-17	1	1	0	0
2017-04-18	2	2	0	0
2017-04-19	5	3	0	0
2017-04-20	3	2	1	1
2017-04-21	5	2	0	0
2017-04-22	1	1	0	0
2017-04-23	1	1	2	2
2017-04-24	2	2	0	0
2017-04-25	3	2	0	0
2017-04-26	6	1	0	0
2017-04-27	1	1	0	0
2017-04-28	12	4	0	0
2017-04-29	4	1	0	0
2017-04-30	2	1	1	1
2017-05-01	7	1	0	0
2017-05-02	2	1	0	0
2017-05-03	6	4	0	0
2017-05-04	4	1	0	0
2017-05-05	2	1	0	0
2017-05-06	4	2	0	0
2017-05-08	3	3	0	0
2017-05-09	2	2	0	0
2017-05-10	4	1	0	0
2017-05-11	7	3	0	0
2017-05-12	4	2	0	0
2017-05-14	1	1	0	0
2017-05-15	2	2	1	1
2017-05-16	1	1	0	0
2017-05-17	14	6	1	1
2017-05-18	4	2	0	0
2017-05-19	4	3	0	0
2017-05-20	3	1	0	0
2017-05-22	1	1	0	0
2017-05-23	1	1	0	0
2017-05-24	3	1	0	0
2017-05-25	4	3	0	0
2017-05-26	3	3	0	0
2017-05-27	1	1	0	0
2017-05-28	5	3	0	0
2017-05-29	4	2	0	0
2017-05-30	1	1	0	0
2017-05-31	12	3	0	0
2017-06-01	9	3	0	0
2017-06-02	2	2	0	0
2017-06-05	9	2	0	0
2017-06-06	6	2	0	0
2017-06-07	10	2	0	0
2017-06-08	1	1	0	0
2017-06-09	4	1	0	0
2017-06-12	16	1	0	0
2017-06-13	1	1	0	0
2017-06-14	1	1	0	0
2017-06-15	2	2	0	0
2017-06-16	3	3	0	0
2017-06-17	1	1	0	0
2017-06-19	1	1	0	0
2017-06-20	2	2	0	0
2017-06-21	10	4	0	0
2017-06-22	11	4	0	0
2017-06-23	26	8	0	0
2017-06-24	4	2	0	0
2017-06-26	3	2	0	0
2017-06-27	4	2	0	0
2017-06-28	9	3	1	1
2017-06-29	1	1	0	0
2017-06-30	1	1	0	0
2017-07-01	1	1	0	0
2017-07-03	3	1	0	0
2017-07-04	1	1	0	0
2017-07-05	2	2	0	0
2017-07-06	17	1	0	0
2017-07-07	14	4	0	0
2017-07-09	2	1	0	0
2017-07-10	2	1	0	0
2017-07-11	9	3	0	0
2017-07-12	3	2	0	0
2017-07-13	7	1	0	0
2017-07-14	2	2	0	0
2017-07-16	34	2	0	0
2017-07-17	2	1	0	0
