Date	View_count	View_unique	Clone_count	Clone_unique
2018-07-18	3	1	1	1
2018-07-19	1	1	0	0
2018-07-24	3	1	0	0
2018-07-28	4	3	1	1
2018-07-30	6	1	0	0
2018-08-06	8	3	0	0
2018-08-07	60	11	3	3
2018-08-08	136	10	2	2
2018-08-09	226	8	0	0
2018-08-10	225	12	0	0
2018-08-11	42	19	0	0
2018-08-12	7	5	0	0
2018-08-13	2	2	0	0
2018-08-14	8	1	0	0
2018-08-15	6	4	0	0
2018-08-16	16	4	0	0
2018-08-17	12	8	0	0
2018-08-20	2	1	0	0
2018-08-21	25	2	1	1
2018-08-22	62	6	0	0
2018-08-23	1	1	0	0
2018-08-24	6	4	0	0
2018-08-25	1	1	0	0
2018-08-26	71	4	0	0
2018-08-27	6	4	0	0
2018-08-28	4	2	0	0
2018-08-29	21	8	0	0
2018-08-30	6	2	0	0
2018-08-31	3	2	0	0
2018-09-03	1	1	0	0
2018-09-04	1	1	0	0
2018-09-05	2	1	0	0
2018-09-06	1	1	0	0
2018-09-07	1	1	0	0
2018-09-09	1	1	0	0
2018-09-10	1	1	0	0
2018-09-12	6	1	1	1
2018-09-13	12	3	0	0
2018-09-14	1	1	0	0
2018-09-17	1	1	0	0
2018-09-18	2	2	0	0
2018-09-19	1	1	0	0
2018-09-20	2	2	0	0
2018-09-23	1	1	0	0
2018-09-26	1	1	0	0
2018-09-27	1	1	0	0
2018-09-29	2	1	0	0
2018-10-02	32	2	0	0
2018-10-03	1	1	0	0
2018-10-04	23	4	0	0
2018-10-05	7	3	0	0
2018-10-08	6	3	0	0
2018-10-09	6	4	0	0
2018-10-10	2	2	0	0
2018-10-12	6	2	0	0
2018-10-13	1	1	0	0
2018-10-15	2	1	0	0
2018-10-16	7	1	0	0
2018-10-17	4	3	0	0
2018-10-18	1	1	0	0
2018-10-20	1	1	0	0
2018-10-21	0	0	1	1
2018-10-30	37	1	0	0
2018-11-04	0	0	1	1
2018-11-10	3	2	0	0
2018-11-11	14	4	0	0
2018-11-12	4	4	0	0
2018-11-17	0	0	1	1
2018-11-19	1	1	0	0
2018-11-21	5	3	0	0
2018-11-23	1	1	0	0
2018-11-24	1	1	0	0
2018-11-26	2	1	0	0
2018-12-01	3	1	0	0
2018-12-02	1	1	0	0
2018-12-06	1	1	0	0
2018-12-08	1	1	0	0
2018-12-10	0	0	1	1
2018-12-11	9	1	0	0
2018-12-12	4	2	0	0
2018-12-17	18	1	0	0
2018-12-20	1	1	0	0
2018-12-31	0	0	0	0
