Date	View_count	View_unique	Clone_count	Clone_unique
2017-03-02	7	3	0	0
2017-03-03	4	3	0	0
2017-03-04	30	8	1	1
2017-03-05	9	1	0	0
2017-03-06	10	2	3	3
2017-03-07	1	1	0	0
2017-03-08	2	2	3	3
2017-03-09	5	1	0	0
2017-03-10	5	4	0	0
2017-03-11	2	1	0	0
2017-03-12	4	1	0	0
2017-03-13	5	2	0	0
2017-03-14	7	3	0	0
2017-03-16	4	2	0	0
2017-03-17	26	7	0	0
2017-03-18	4	2	0	0
2017-03-19	3	1	0	0
2017-03-20	4	2	0	0
2017-03-21	1	1	0	0
2017-03-22	6	3	0	0
2017-03-23	25	4	0	0
2017-03-24	9	6	2	2
2017-03-25	0	0	2	2
2017-03-26	2	2	0	0
2017-03-27	6	2	0	0
2017-03-28	1	1	0	0
2017-03-29	21	5	0	0
2017-03-30	13	8	0	0
2017-03-31	7	6	0	0
2017-04-01	1	1	0	0
2017-04-02	7	2	0	0
2017-04-04	1	1	0	0
2017-04-05	4	1	0	0
2017-04-06	8	3	0	0
2017-04-07	2	2	0	0
2017-04-08	4	2	0	0
2017-04-10	2	2	0	0
2017-04-11	3	2	0	0
2017-04-13	3	2	0	0
2017-04-14	5	3	0	0
2017-04-15	6	3	0	0
2017-04-16	2	1	0	0
2017-04-17	2	1	0	0
2017-04-18	4	2	0	0
2017-04-19	5	2	0	0
2017-04-20	2	2	0	0
2017-04-21	3	3	0	0
2017-04-23	3	2	0	0
2017-04-24	2	1	0	0
2017-04-25	22	1	0	0
2017-04-26	4	2	0	0
2017-04-27	2	2	0	0
2017-04-28	17	4	0	0
2017-04-29	5	2	0	0
2017-04-30	2	1	0	0
2017-05-01	2	2	0	0
2017-05-02	9	5	0	0
2017-05-03	3	3	0	0
2017-05-04	11	4	0	0
2017-05-05	7	3	0	0
2017-05-08	6	5	1	1
2017-05-09	8	6	0	0
2017-05-10	11	4	0	0
2017-05-11	15	2	0	0
2017-05-12	8	4	1	1
2017-05-13	1	1	0	0
2017-05-14	1	1	0	0
2017-05-15	27	6	0	0
2017-05-16	1	1	0	0
