Date	View_count	View_unique	Clone_count	Clone_unique
2018-08-06	7	3	3	2
2018-08-07	1	1	3	2
2018-08-08	17	3	6	3
2018-08-10	2	1	0	0
2018-08-15	1	1	0	0
2018-08-17	3	2	0	0
2018-08-20	9	1	0	0
2018-08-21	2	1	0	0
2018-08-22	10	4	4	3
2018-08-23	1	1	0	0
2018-08-28	1	1	0	0
2018-08-29	3	1	4	3
2018-09-01	1	1	0	0
2018-09-03	1	1	0	0
2018-09-04	3	1	0	0
2018-09-05	26	7	3	3
2018-09-06	48	6	0	0
2018-09-07	46	7	0	0
2018-09-08	8	2	0	0
2018-09-10	22	2	0	0
2018-09-11	9	3	3	2
2018-09-12	41	20	1	1
2018-09-13	12	2	4	3
2018-09-14	2	2	0	0
2018-09-15	14	4	0	0
2018-09-16	4	1	0	0
2018-09-18	1	1	0	0
2018-09-20	3	1	0	0
2018-09-21	0	0	2	1
2018-09-23	1	1	0	0
2018-09-25	1	1	0	0
2018-09-26	4	3	1	1
2018-09-27	5	2	0	0
2018-09-28	1	1	0	0
2018-09-29	3	1	0	0
2018-10-01	5	2	0	0
2018-10-02	1	1	0	0
2018-10-03	2	2	0	0
2018-10-04	1	1	0	0
2018-10-09	1	1	0	0
2018-10-12	3	1	1	1
2018-10-13	1	1	0	0
2018-10-14	4	3	0	0
2018-10-15	7	3	0	0
2018-10-17	1	1	0	0
2018-10-18	1	1	0	0
2018-10-19	3	2	0	0
2018-10-24	20	3	0	0
2018-10-26	1	1	0	0
2018-10-29	8	1	0	0
2018-10-30	0	0	1	1
2018-11-01	1	1	0	0
2018-11-02	2	2	0	0
2018-11-04	1	1	0	0
2018-11-07	2	1	1	1
2018-11-08	5	1	0	0
2018-11-09	2	2	0	0
2018-11-11	2	1	0	0
2018-11-12	2	1	0	0
2018-11-13	3	1	0	0
2018-11-14	1	1	0	0
2018-11-15	4	2	0	0
2018-11-16	2	1	0	0
2018-11-17	0	0	1	1
2018-11-18	3	2	0	0
2018-11-25	8	1	0	0
2018-11-26	1	1	0	0
2018-12-04	3	1	6	3
2018-12-05	1	1	0	0
2018-12-08	1	1	0	0
2018-12-11	1	1	0	0
2018-12-13	9	1	0	0
2018-12-14	1	1	0	0
2018-12-24	1	1	0	0
2019-01-07	0	0	0	0
2019-01-14	1	1	0	0
2019-01-15	7	2	0	0
2019-01-17	2	1	0	0
2019-01-18	2	2	0	0
2019-01-27	0	0	1	1
2019-01-28	0	0	1	1
2019-01-30	4	1	0	0
2019-02-03	1	1	0	0
2019-02-06	8	1	0	0
2019-02-07	3	1	0	0
2019-02-10	2	1	0	0
2019-02-11	5	1	0	0
2019-02-12	1	1	0	0
2019-02-14	2	1	0	0
2019-02-15	6	2	0	0
2019-02-17	1	1	0	0
2019-02-19	1	1	0	0
2019-02-21	1	1	0	0
2019-02-26	9	3	0	0
2019-02-27	1	1	0	0
2019-02-28	1	1	0	0
2019-03-03	10	1	0	0
2019-03-05	11	2	0	0
2019-03-06	2	2	0	0
2019-03-07	1	1	0	0
2019-03-11	3	2	0	0
2019-03-18	7	1	0	0
2019-03-19	22	2	1	1
2019-03-20	7	2	0	0
2019-03-21	1	1	0	0
2019-03-23	1	1	0	0
2019-03-25	1	1	0	0
2019-03-31	0	0	1	1
2019-04-02	4	2	0	0
2019-04-03	3	2	0	0
2019-04-04	1	1	0	0
2019-04-08	8	1	0	0
2019-04-09	1	1	0	0
2019-04-12	1	1	0	0
2019-04-14	16	1	0	0
2019-04-15	0	0	0	0
