Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-01	1	1	0	0
2018-05-04	1	1	0	0
2018-05-05	0	0	1	1
2018-05-08	1	1	1	1
2018-05-09	2	1	0	0
2018-05-15	1	1	0	0
2018-05-16	10	1	0	0
2018-05-17	1	1	0	0
2018-05-18	5	1	0	0
2018-05-21	9	2	0	0
2018-05-24	4	1	0	0
2018-05-28	2	1	0	0
2018-05-29	2	1	0	0
2018-05-30	1	1	0	0
2018-05-31	1	1	0	0
2018-06-01	1	1	0	0
2018-06-02	1	1	0	0
2018-06-04	1	1	0	0
2018-06-05	1	1	0	0
2018-06-06	2	2	0	0
2018-06-07	1	1	0	0
2018-06-12	1	1	0	0
2018-06-13	1	1	0	0
2018-06-15	1	1	0	0
2018-06-18	4	1	0	0
2018-06-21	1	1	0	0
2018-06-22	1	1	0	0
2018-06-26	13	2	4	1
2018-06-28	8	2	0	0
2018-06-29	7	1	0	0
2018-07-01	1	1	1	1
2018-07-02	2	2	0	0
2018-07-03	2	2	0	0
2018-07-04	1	1	0	0
2018-07-06	5	2	1	1
2018-07-09	4	2	0	0
2018-07-11	11	2	0	0
2018-07-12	3	2	0	0
2018-07-16	3	1	0	0
2018-07-19	7	1	1	1
2018-07-20	5	1	0	0
2018-07-23	1	1	0	0
2018-07-24	3	1	0	0
2018-07-25	1	1	0	0
2018-07-26	0	0	1	1
2018-07-27	2	1	0	0
2018-07-30	3	1	0	0
2018-07-31	3	3	0	0
2018-08-01	7	4	0	0
2018-08-06	1	1	0	0
2018-08-07	3	2	0	0
2018-08-08	7	1	0	0
2018-08-09	2	2	0	0
2018-08-10	2	1	0	0
2018-08-13	5	3	0	0
2018-08-14	8	2	0	0
2018-08-16	3	2	0	0
2018-08-20	1	1	0	0
2018-08-21	2	2	0	0
2018-08-22	39	4	1	1
2018-08-23	98	16	5	5
2018-08-24	51	6	3	3
2018-08-26	20	1	0	0
2018-08-27	1	1	0	0
2018-08-28	5	3	0	0
2018-08-29	4	3	0	0
2018-08-30	29	4	0	0
2018-08-31	1	1	0	0
2018-09-01	7	2	0	0
2018-09-02	1	1	0	0
2018-09-06	1	1	0	0
2018-09-07	2	1	0	0
2018-09-08	2	2	0	0
2018-09-10	8	2	0	0
2018-09-12	1	1	0	0
2018-09-13	4	3	0	0
2018-09-17	1	1	0	0
2018-09-18	1	1	0	0
2018-09-20	3	2	0	0
2018-09-22	5	1	0	0
2018-09-23	1	1	3	3
2018-09-27	7	3	1	1
2018-09-28	1	1	0	0
2018-10-02	8	1	0	0
2018-10-03	6	1	1	1
2018-10-07	2	2	0	0
2018-10-08	0	0	1	1
2018-10-09	1	1	0	0
2018-10-10	1	1	0	0
2018-10-11	1	1	0	0
2018-10-13	1	1	0	0
2018-10-15	1	1	0	0
2018-10-17	31	2	0	0
2018-10-18	1	1	0	0
2018-10-19	3	1	0	0
2018-10-22	0	0	2	1
2018-10-25	1	1	0	0
2018-10-27	7	2	0	0
2018-10-28	0	0	1	1
2018-11-01	4	1	0	0
2018-11-04	1	1	0	0
2018-11-05	1	1	0	0
2018-11-06	1	1	0	0
2018-11-09	1	1	0	0
2018-11-10	8	3	0	0
2018-11-11	1	1	0	0
2018-11-12	3	2	0	0
2018-11-13	9	3	0	0
2018-11-14	12	2	3	3
2018-11-15	1	1	1	1
2018-11-16	2	2	0	0
2018-11-17	1	1	1	1
2018-11-18	1	1	0	0
2018-11-19	2	1	0	0
2018-11-20	4	2	0	0
2018-11-21	3	1	1	1
2018-11-22	4	1	0	0
2018-11-23	1	1	0	0
2018-11-25	1	1	0	0
2018-11-26	4	1	0	0
2018-11-27	1	1	0	0
2018-11-28	2	1	0	0
2018-11-29	8	2	0	0
2018-12-05	3	1	0	0
2018-12-06	1	1	0	0
2018-12-08	1	1	0	0
2018-12-09	2	2	1	1
