Date	View_count	View_unique	Clone_count	Clone_unique
2018-08-08	11	2	5	2
2018-08-10	5	1	0	0
2018-08-12	1	1	0	0
2018-08-16	1	1	0	0
2018-08-17	22	4	3	2
2018-08-20	3	1	0	0
2018-08-21	1	1	0	0
2018-08-22	3	1	0	0
2018-08-24	6	1	0	0
2018-08-31	3	1	0	0
2018-09-03	3	1	0	0
2018-09-07	5	2	0	0
2018-09-13	1	1	0	0
2018-09-24	0	0	0	0
2018-09-26	2	1	0	0
2018-09-27	4	2	0	0
2018-10-03	1	1	0	0
2018-10-12	0	0	1	1
2018-10-15	0	0	1	1
2018-10-18	2	2	0	0
2018-10-19	1	1	0	0
2018-10-30	1	1	2	2
2018-11-07	0	0	1	1
2018-11-13	3	1	0	0
2018-11-14	1	1	0	0
2018-11-17	0	0	1	1
2018-11-18	2	2	0	0
2018-12-03	1	1	0	0
2018-12-10	0	0	0	0
2018-12-17	0	0	0	0
2018-12-24	0	0	0	0
2018-12-31	0	0	0	0
2019-01-07	0	0	0	0
2019-01-14	0	0	0	0
2019-01-21	0	0	0	0
2019-01-28	0	0	1	1
2019-01-29	0	0	2	2
2019-02-05	1	1	0	0
2019-02-18	3	1	0	0
2019-02-21	1	1	0	0
2019-02-23	3	1	0	0
2019-02-26	2	1	0	0
2019-03-11	0	0	0	0
2019-03-18	0	0	0	0
2019-03-25	6	1	0	0
2019-04-01	0	0	1	1
2019-04-08	1	1	0	0
2019-04-18	0	0	1	1
2019-04-26	1	1	0	0
2019-05-04	1	1	0	0
2019-05-05	1	1	0	0
2019-05-13	0	0	0	0
2019-05-14	5	1	0	0
2019-05-21	3	1	0	0
2019-05-23	0	0	1	1
2019-05-26	1	1	0	0
