Date	View_count	View_unique	Clone_count	Clone_unique
2018-06-25	3	1	7	4
2018-06-26	10	2	15	6
2018-06-27	12	1	6	3
2018-06-28	1	1	3	2
2018-06-30	16	1	7	3
2018-07-02	5	3	0	0
2018-07-03	5	2	0	0
2018-07-04	15	1	0	0
2018-07-05	2	1	0	0
2018-07-08	11	1	0	0
2018-07-10	2	1	0	0
2018-07-11	1	1	0	0
2018-07-13	6	1	0	0
2018-07-14	0	0	9	4
2018-07-16	3	1	1	1
2018-07-17	3	1	0	0
2018-07-20	0	0	3	2
2018-07-22	1	1	0	0
2018-07-24	4	1	0	0
2018-07-25	2	1	0	0
2018-07-30	3	2	0	0
2018-07-31	10	1	0	0
2018-08-01	3	1	0	0
2018-08-02	5	1	0	0
2018-08-03	3	1	0	0
2018-08-07	7	3	0	0
2018-08-08	11	2	5	2
2018-08-14	9	1	0	0
2018-08-20	3	2	0	0
2018-08-21	3	1	1	1
2018-08-22	4	3	0	0
2018-08-23	6	2	3	2
2018-08-24	34	3	12	5
2018-08-25	9	1	12	5
2018-08-26	3	1	0	0
2018-08-27	1	1	0	0
2018-08-28	19	3	10	3
2018-08-29	40	3	23	8
2018-08-30	4	2	3	2
2018-08-31	15	4	3	2
2018-09-01	7	1	0	0
2018-09-02	12	2	0	0
2018-09-03	1	1	0	0
2018-09-04	4	2	0	0
2018-09-05	2	2	0	0
2018-09-06	8	2	0	0
2018-09-07	7	4	0	0
2018-09-09	1	1	0	0
2018-09-11	10	1	6	3
2018-09-12	10	2	0	0
2018-09-13	30	7	0	0
2018-09-14	1	1	0	0
2018-09-18	2	1	0	0
2018-09-19	3	3	1	1
2018-09-20	4	3	0	0
2018-09-23	0	0	5	4
2018-09-24	7	2	0	0
2018-09-25	4	2	0	0
2018-09-26	2	2	0	0
2018-09-27	4	1	0	0
2018-09-29	1	1	0	0
2018-10-02	3	1	0	0
2018-10-06	3	2	0	0
2018-10-12	1	1	0	0
2018-10-13	10	2	0	0
2018-10-15	0	0	1	1
2018-10-16	22	1	9	4
2018-10-17	31	2	6	3
2018-10-18	31	1	19	8
2018-10-19	4	1	3	2
2018-10-20	19	3	5	4
2018-10-21	46	2	5	2
2018-10-22	51	2	21	6
2018-10-23	13	1	3	2
2018-10-24	12	1	6	3
2018-10-25	2	1	6	3
2018-10-26	0	0	15	6
2018-10-27	0	0	3	2
2018-10-28	4	1	5	2
2018-10-29	9	2	3	2
2018-10-30	0	0	1	1
2018-10-31	5	1	6	3
2018-11-01	41	1	16	5
2018-11-02	51	7	15	6
2018-11-03	3	1	0	0
2018-11-04	4	1	9	4
2018-11-06	0	0	3	2
2018-11-07	6	1	10	3
2018-11-08	22	5	14	7
2018-11-09	3	2	0	0
2018-11-11	3	1	5	2
2018-11-12	0	0	1	1
2018-11-14	0	0	6	3
2018-11-15	1	1	0	0
2018-11-17	0	0	1	1
2018-11-19	8	4	0	0
2018-11-20	22	3	0	0
2018-11-21	6	2	0	0
2018-11-22	4	1	9	4
2018-11-23	5	1	3	2
2018-11-26	3	1	3	2
2018-11-27	39	2	6	3
2018-11-28	0	0	3	2
2018-11-29	1	1	0	0
2018-12-02	6	1	0	0
2018-12-03	1	1	0	0
2018-12-04	4	2	0	0
2018-12-05	3	3	0	0
2018-12-06	29	2	21	8
2018-12-07	5	2	0	0
2018-12-08	0	0	3	2
2018-12-10	2	1	8	3
2018-12-11	7	2	6	3
2018-12-12	0	0	3	2
2018-12-13	0	0	6	3
2018-12-14	12	2	4	3
2018-12-16	2	1	0	0
2018-12-17	10	1	0	0
2018-12-18	4	2	4	3
2018-12-19	2	2	1	1
2018-12-22	2	1	0	0
2018-12-26	1	1	0	0
2019-01-02	1	1	0	0
2019-01-03	5	1	0	0
2019-01-04	4	2	0	0
2019-01-09	1	1	0	0
2019-01-10	1	1	0	0
2019-01-12	3	1	3	2
